Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,299.0
Apartment,2.0,1.0,4.0,Okkalappa South,972.0,192.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,210.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,330.0
Apartment,2.0,1.0,4.0,Okkalappa South,972.0,237.0
Condo,2.0,2.0,1.0,Mayangone,1056.0,3.6
Condo,1.0,1.0,1.0,Thanlyin,484.0,212.0
Condo,2.0,1.0,1.0,Thanlyin,710.0,350.0
Apartment,1.0,1.0,1.0,Tamwe,825.0,305.0
Apartment,2.0,1.0,3.0,Tamwe,900.0,155.0
Condo,2.0,2.0,1.0,Kamaryut,937.0,1300.0
House,4.0,4.0,2.0,Insein,30000.0,2100.0
Condo,2.0,2.0,1.0,Yankin,1200.0,880.0
House,3.0,3.0,1.5,Bahan,0.14,7000.0
House,3.0,3.0,2.5,Yankin,2400.0,3500.0
Condo,3.0,3.0,1.0,Sanchaung,2540.0,1350.0
House,4.0,4.0,2.0,Mingalartaungnyunt,1500.0,3500.0
Apartment,1.0,1.0,2.0,Thaketa,600.0,126.0
House,5.0,3.0,2.0,Yankin,2640.0,4500.0
House,2.0,1.0,1.0,Dagon Myothit (North),1200.0,420.0
Condo,2.0,2.0,19.0,Kamaryut,937.0,1350.0
Apartment,2.0,1.0,7.0,Sanchaung,900.0,220.0
Apartment,2.0,1.0,7.0,Sanchaung,750.0,135.0
Apartment,1.0,1.0,1.0,Sanchaung,1566.0,870.0
Apartment,1.0,1.0,1.0,Mayangone,720.0,185.0
Condo,3.0,3.0,1.0,Tamwe,1500.0,530.0
Condo,3.0,2.0,1.0,Hlaing,2000.0,1800.0
Apartment,3.0,1.0,3.0,Tamwe,900.0,90.0
Condo,1.0,2.0,8.0,Ahlon,743.0,280.0
Apartment,1.0,1.0,5.0,Sanchaung,687.5,170.0
