price,city,type,bed_room,bath_room,floor,ft_square
1550.0,tamwe,Apartment,2,1.0,3.0,900.0
13000.0,kamaryut,Condo,2,2.0,1.0,937.0
21000.0,insein,House,4,4.0,2.0,30000.0
8800.0,yankin,Condo,2,2.0,1.0,1200.0
35000.0,yankin,House,3,3.0,2.5,2400.0
13500.0,sanchaung,Condo,3,3.0,1.0,2540.0
35000.0,mingalartaungnyunt,House,4,4.0,2.0,1500.0
1260.0,thaketa,Apartment,1,1.0,2.0,600.0
45000.0,yankin,House,5,3.0,2.0,2640.0
4200.0,dagon myothit (north),House,2,1.0,1.0,1200.0
13500.0,kamaryut,Condo,2,2.0,19.0,937.0
2200.0,sanchaung,Apartment,2,1.0,7.0,900.0
1350.0,sanchaung,Apartment,2,1.0,7.0,750.0
8700.0,sanchaung,Apartment,1,1.0,1.0,1566.0
1850.0,mayangone,Apartment,1,1.0,1.0,720.0
5300.0,tamwe,Condo,3,3.0,1.0,1500.0
18000.0,hlaing,Condo,3,2.0,1.0,2000.0
900.0,tamwe,Apartment,3,1.0,3.0,900.0
2800.0,ahlon,Condo,1,2.0,8.0,743.0
1700.0,sanchaung,Apartment,1,1.0,5.0,687.5
11700.0,dagon myothit (north),House,4,3.0,2.5,1000.0
11000.0,thingangkuun,House,2,2.0,2.0,1200.0
6500.0,hlaing,Apartment,2,2.0,1.0,1610.0
1500.0,hlaing,Apartment,2,1.0,5.0,750.0
16000.0,ahlon,Condo,4,4.0,1.0,2360.0
4950.0,tamwe,Condo,3,2.0,7.0,1600.0
11800.0,ahlon,Condo,4,4.0,1.0,2600.0
7000.0,sanchaung,Condo,3,2.0,5.0,1680.0
8200.0,thaketa,House,1,1.0,2.0,2400.0
1685.0,sanchaung,Apartment,1,1.0,5.0,687.5
45000.0,mayangone,House,6,6.0,3.0,7200.0
43000.0,mayangone,House,5,4.0,2.0,4800.0
95000.0,kamaryut,House,7,7.0,3.0,5445.0
48000.0,mayangone,House,2,2.0,2.0,10000.0
35000.0,dagon myothit (north),House,5,5.0,3.0,4225.0
63000.0,mayangone,House,5,5.0,2.0,7700.0
35000.0,dagon myothit (north),House,5,5.0,3.0,4592.0
3600.0,bahan,Apartment,1,1.0,1.0,800.0
940.0,tamwe,Apartment,1,1.0,5.0,750.0
1400.0,mayangone,Apartment,2,1.0,1.0,912.0
1500.0,hlaing,Apartment,2,1.0,4.0,750.0
3600.0,thingangkuun,Apartment,4,2.0,6.0,1800.0
13000.0,thingangkuun,Apartment,2,2.0,1.0,1190.0
4500.0,mayangone,Apartment,2,3.0,3.0,1530.0
6000.0,sanchaung,Apartment,3,1.0,1.0,750.0
3300.0,pabedan,Apartment,3,1.0,3.0,900.0
1445.0,mingalartaungnyunt,Apartment,1,1.0,3.0,720.0
2000.0,tamwe,Apartment,2,1.0,3.0,880.0
13500.0,mayangone,Condo,3,3.0,1.0,1506.0
5600.0,lanmadaw,Condo,2,2.0,1.0,589.0
12300.0,thaketa,House,3,3.0,3.0,1250.0
11500.0,mayangone,Condo,3,3.0,1.0,1260.0
17000.0,dagon,Condo,3,3.0,1.0,1800.0
6000.0,thingangkuun,Condo,3,3.0,1.0,1550.0
10800.0,yankin,Condo,2,2.0,1.0,1248.0
11000.0,ahlon,Condo,2,2.0,1.0,2000.0
16000.0,thingangkuun,House,3,3.0,2.0,2700.0
15000.0,thingangkuun,House,4,3.0,2.0,2400.0
27000.0,thingangkuun,House,3,3.0,2.0,3600.0
19500.0,thingangkuun,House,3,3.0,2.0,3600.0
7000.0,thingangkuun,House,3,3.0,2.0,1325.0
