price_lakhs,day,month,year,Type,Bed Room,Bath Room,Ownership,Furnishing Type,Floor,Room Partition Type,Flooring Type,State,city,Area_ft_square
8500.0,06,Jan,2026,Condo,2,2,0,Tiled Floor &amp; Walls for Kitchen,7.0,0,0,Yangon,Mingalartaungnyunt,1750.0
2990.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2050.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2790.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,625.0
2550.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2750.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
4450.0,06,Jan,2026,Condo,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
3400.0,06,Jan,2026,Condo,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,918.0
2950.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2500.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
1850.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,756.0
1600.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
1720.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2350.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2350.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,1045.0
2150.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2100.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2100.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2890.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2630.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2700.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2500.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,1320.0
2830.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2600.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
1250.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,702.0
1150.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,625.0
2500.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
4600.0,03,Jan,2026,Condo,2,2,0,Partially Furnished,1.0,0,0,Yangon,Hlaing,1088.0
650.0,01,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
50.0,30,Dec,2025,House,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,2400.0
32000.0,30,Dec,2025,House,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
1550.0,27,Dec,2025,Apartment,0,0,0,0,0.0,0,0,Yangon,Insein,972.0
1350.0,27,Dec,2025,Apartment,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),945.0
4050.0,27,Dec,2025,House,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (Seikkan),1800.0
1280.0,27,Dec,2025,Apartment,0,0,0,0,0.0,0,0,Yangon,Thaketa,972.0
2070.0,27,Dec,2025,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
99000.0,26,Dec,2025,Condo,3,2,0,Fully Furnished,7.0,0,0,Yangon,Hlaing,1505.0
9500.0,22,Dec,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
12800.0,21,Dec,2025,Condo,3,2,0,0,0.0,0,0,Yangon,Lanmadaw,2000.0
6800.0,20,Dec,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
15000.0,18,Dec,2025,Condo,0,0,0,0,0.0,0,0,Yangon,Botahtaung,2880.0
9000.0,15,Dec,2025,House,0,0,Grant,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
2350.0,15,Dec,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
8500.0,15,Dec,2025,House,4,3,0,Fully Furnished,2.5,0,0,Yangon,Dagon Myothit (North),1200.0
21000.0,15,Dec,2025,House,1,1,0,0,2.0,0,0,Yangon,Bahan,800.0
9500.0,02,Dec,2025,Condo,3,2,0,0,0.0,0,0,Yangon,Hlaing,1400.0
18000.0,30,Nov,2025,House,3,2,0,0,2.0,0,0,Yangon,Yankin,1760.0
8700.0,30,Nov,2025,House,4,3,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
3750.0,30,Nov,2025,Condo,3,2,0,0,0.0,0,0,Yangon,Hlaing,1100.0
5850.0,29,Nov,2025,Condo,2,2,0,0,0.0,0,0,Yangon,Bahan,1500.0
7000.0,29,Nov,2025,Condo,3,2,0,0,0.0,0,0,Yangon,Mayangone,1700.0
35000.0,27,Nov,2025,House,6,3,0,0,3.5,0,0,Yangon,Yankin,2400.0
7500.0,26,Nov,2025,Land,0,0,0,0,0.0,0,0,Yangon,Shwepyithar,3600.0
8200.0,26,Nov,2025,Condo,3,2,0,0,0.0,0,0,Yangon,Okkalappa South,1205.0
3500.0,24,Nov,2025,Condo,3,2,0,Tiled Floor &amp; Walls for Kitchen,4.0,0,0,Yangon,Dagon Myothit (Seikkan),1184.0
6500.0,24,Nov,2025,Condo,3,2,0,0,0.0,0,0,Yangon,Thingangkuun,1460.0
6500.0,24,Nov,2025,Condo,3,2,0,Partially Furnished,0.0,0,0,Yangon,Thingangkuun,1460.0
9900.0,23,Nov,2025,Condo,3,3,0,0,0.0,0,0,Yangon,Hlaing,1505.0
7200.0,20,Nov,2025,Condo,3,2,Contract,Fully Furnished,5.0,0,0,Yangon,Pazundaung,1100.0
7500.0,19,Nov,2025,House,0,0,0,Fully Furnished,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
8500.0,12,Nov,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
8500.0,12,Nov,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
4500.0,27,Oct,2025,Land,0,0,Grant,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
18000.0,23,Oct,2025,Industrial Zone,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (South),4800.0
4000.0,18,Oct,2025,Land,0,0,0,0,0.0,0,0,Yangon,Bahan,1815.0
60000.0,15,Oct,2025,Industrial Zone,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (South),9600.0
39000.0,11,Oct,2025,Land,0,0,0,0,0.0,0,0,Yangon,Hlegu,254825.99999999997
9980.0,20,Sep,2025,Condo,4,4,0,0,0.0,0,0,Yangon,Yankin,2450.0
14000.0,09,Sep,2025,House,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
13000.0,09,Sep,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
7800.0,05,Sep,2025,House,0,0,0,0,2.0,0,0,Yangon,Dagon Myothit (North),1800.0
15000.0,05,Sep,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (South),2400.0
18000.0,02,Sep,2025,Land,0,0,0,0,0.0,0,0,Yangon,Ahlon,1250.0
35000.0,22,Aug,2025,House,4,4,0,0,2.0,0,0,Yangon,Thingangkuun,9600.0
39000.0,22,Aug,2025,House,4,4,0,0,2.0,0,0,Yangon,Thingangkuun,8100.0
36000.0,22,Aug,2025,House,5,4,0,0,2.0,0,0,Yangon,Mayangone,4800.0
56000.0,22,Aug,2025,House,4,2,0,0,1.5,0,0,Yangon,Mayangone,4600.0
52000.0,22,Aug,2025,House,6,6,0,0,2.0,0,0,Yangon,Mayangone,6400.0
30000.0,21,Aug,2025,House,0,0,0,0,1.0,0,0,Yangon,Yankin,5472.0
22000.0,21,Aug,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
4000.0,21,Aug,2025,Apartment,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1045.0
6500.0,21,Aug,2025,Office / Retail,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
30000.0,21,Aug,2025,House,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
13000.0,20,Aug,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (South),2400.0
5200.0,19,Aug,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
25462.5,17,Aug,2025,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),7275.0
15500.0,16,Aug,2025,Land,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,4800.0
19200.0,06,Aug,2025,Land,0,0,0,0,0.0,0,0,Yangon,Thaketa,4800.0
40000.0,27,Jan,2026,House,1,2,0,0,2.0,0,0,Yangon,Dagon Myothit (North),9583.0
850.0,27,Jan,2026,Apartment,1,1,0,0,0.0,0,0,Yangon,Dawbon,625.0
7500.0,27,Jan,2026,Condo,3,3,0,0,0.0,0,0,Yangon,Mayangone,2187.0
3550.0,27,Jan,2026,Apartment,2,2,0,0,0.0,0,0,Yangon,Okkalappa South,1188.0
2430.0,27,Jan,2026,House,2,2,0,0,0.0,0,0,Yangon,Dagon Myothit (Seikkan),1200.0
4250.0,27,Jan,2026,Condo,2,2,0,0,0.0,0,0,Yangon,Thingangkuun,972.0
2900.0,27,Jan,2026,Apartment,0,1,0,0,0.0,0,0,Yangon,Okkalappa North,1200.0
1250.0,27,Jan,2026,Apartment,0,1,0,0,0.0,0,0,Yangon,Thingangkuun,625.0
1850.0,27,Jan,2026,Apartment,2,1,0,0,0.0,0,0,Yangon,Okkalappa South,1026.0
2800.0,27,Jan,2026,Apartment,2,2,0,0,0.0,0,0,Yangon,Okkalappa South,687.5
1060.0,27,Jan,2026,Apartment,0,1,0,0,0.0,0,0,Yangon,Dawbon,625.0
2750.0,27,Jan,2026,Condo,2,2,0,0,0.0,0,0,Yangon,Thaketa,918.0
6200.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
1050.0,27,Jan,2026,Apartment,1,1,0,0,0.0,0,0,Yangon,Thingangkuun,625.0
1240.0,27,Jan,2026,Apartment,1,0,0,0,0.0,0,0,Yangon,Dawbon,625.0
8200.0,27,Jan,2026,House,0,1,0,0,0.0,0,0,Yangon,Thaketa,2400.0
9250.0,27,Jan,2026,Condo,3,2,Contract,0,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Hlaing,1455.0
1180.0,27,Jan,2026,Apartment,1,1,0,0,0.0,0,0,Yangon,Thingangkuun,517.0
4900.0,27,Jan,2026,Apartment,3,2,Contract,Fully Furnished,0.0,Master and Single Bedroom,0,Yangon,Kamaryut,1250.0
3490.0,27,Jan,2026,Condo,1,1,Contract,0,0.0,Single Bedroom Only,0,Yangon,Lanmadaw,400.0
6500.0,27,Jan,2026,Apartment,5,2,0,0,0.0,0,0,Yangon,Pazundaung,750.0
1640.0,27,Jan,2026,Apartment,1,1,0,0,0.0,0,0,Yangon,Okkalappa South,1026.0
970.0,27,Jan,2026,Apartment,1,1,0,0,0.0,0,0,Yangon,Tamwe,750.0
2390.0,27,Jan,2026,Apartment,2,1,0,0,0.0,0,0,Yangon,Tamwe,990.0
1175.0,27,Jan,2026,Apartment,1,1,0,0,0.0,0,0,Yangon,Dawbon,600.0
5500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
4500.0,27,Jan,2026,House,3,2,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
700.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (Seikkan),2400.0
3300.0,27,Jan,2026,Apartment,1,2,0,0,0.0,0,0,Yangon,Thingangkuun,576.0
1370.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
3500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1320.0
2450.0,27,Jan,2026,House,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
3700.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
12300.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),4800.0
2200.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
5500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
2200.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
1600.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
1600.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
4400.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
4200.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
8500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
4500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
4300.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
1750.0,27,Jan,2026,Apartment,2,1,0,0,0.0,0,0,Yangon,Okkalappa South,990.0
6000.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
4600.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
7500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2580.0
9000.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
3950.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
4500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
3800.0,27,Jan,2026,House,2,1,0,0,0.0,0,0,Yangon,Dagon Myothit (East),1200.0
15000.0,27,Jan,2026,House,4,3,0,0,0.0,0,0,Yangon,Dagon Myothit (North),2400.0
4500.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (East),2400.0
60000.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),5120.0
5200.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1320.0
3600.0,27,Jan,2026,Apartment,1,1,Contract,0,1.0,0,0,Yangon,Okkalappa South,972.0
3200.0,27,Jan,2026,Apartment,1,1,Contract,0,0.0,0,0,Yangon,Dagon Myothit (North),918.0
15000.0,27,Jan,2026,Industrial Zone,0,0,Contract,0,0.0,0,0,Yangon,Dagon Myothit (Seikkan),9600.0
6500.0,27,Jan,2026,House,10,10,0,0,3.0,0,0,Yangon,Hlaingtharya,1000.0
3450.0,27,Jan,2026,House,3,1,0,0,0.0,0,0,Mandalay,Aungmyaythazan,1250.0
4800.0,26,Jan,2026,Condo,1,2,0,0,1.0,0,0,Yangon,Okkalappa South,972.0
2800.0,26,Jan,2026,Condo,3,2,0,0,0.0,0,0,Yangon,Okkalappa South,1944.0
1330.0,26,Jan,2026,Apartment,2,1,Contract,0,0.0,0,0,Yangon,Thaketa,1045.0
1900.0,26,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,715.0
16000.0,26,Jan,2026,Condo,3,3,0,0,1.0,0,0,Yangon,Mingalartaungnyunt,1485.0
14600.0,26,Jan,2026,Condo,2,3,0,Fully Furnished,5.0,0,0,Yangon,Yankin,1771.0
1450.0,26,Jan,2026,Apartment,1,1,0,Fully Furnished,3.0,0,0,Yangon,Thaketa,972.0
38000.0,26,Jan,2026,House,0,0,0,0,0.0,0,0,Yangon,Mayangone,2600.0
6600.0,26,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),1200.0
13086.0,26,Jan,2026,Condo,3,3,0,0,0.0,0,0,Yangon,Pabedan,1454.0
15000.0,26,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,3016.0
20000.0,26,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (Seikkan),10000.0
7200.0,26,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,2400.0
23000.0,26,Jan,2026,House,3,0,0,0,2.0,0,0,Yangon,Thaketa,3600.0
27500.0,26,Jan,2026,House,0,0,0,0,0.0,0,0,Yangon,Mayangone,2800.0
32500.0,26,Jan,2026,House,5,5,Contract,0,2.5,Master Bedroom Only,0,Yangon,Okkalappa South,2400.0
65000.0,26,Jan,2026,House,5,5,Grant,0,0.0,Master Bedroom Only,0,Yangon,Thingangkuun,10000.0
20000.0,26,Jan,2026,House,2,2,0,0,2.0,0,0,Yangon,Thaketa,3920.0
75000.0,26,Jan,2026,House,0,0,0,0,0.0,0,0,Yangon,Yankin,4200.0
8700.0,26,Jan,2026,Apartment,1,0,Contract,0,0.0,Single Bedroom Only,Tiling Flooring,Yangon,Sanchaung,1566.0
6500.0,26,Jan,2026,Condo,2,2,Contract,Fully Furnished,0.0,Master and Single Bedroom,0,Yangon,Hlaing,1007.0
13000.0,26,Jan,2026,Condo,3,3,Contract,Fully Furnished,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Hlaing,2300.0
60000.0,26,Jan,2026,House,4,4,Contract,0,2.0,0,0,Yangon,Yankin,2750.0
70000.0,26,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,2400.0
27500.0,26,Jan,2026,House,5,5,Contract,Fully Furnished,3.0,Master Bedroom Only,Parquet Flooring,Yangon,Mayangone,3025.0
17540.0,26,Jan,2026,Apartment,3,3,Contract,0,20.0,Master and Single Bedroom,Tiling Flooring,Yangon,Bahan,1754.0
4000.0,26,Jan,2026,Apartment,0,0,Contract,0,1.0,Hall Type,0,Yangon,Sanchaung,900.0
7600.0,26,Jan,2026,Condo,3,3,Contract,0,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Kamaryut,1750.0
