price,city,type,bed_room,bath_room,floor,ft_square
1980.0,ahlon,Apartment,1,1.0,1,650.0
17000.0,dagon myothit (north),House,3,2.0,1,2400.0
35955.625,okkalappa south,House,4,4.0,2,2400.0
12000.0,dagon myothit (south),House,5,5.0,2,4542.0
1950.0,tamwe,Apartment,2,1.0,1,945.0
5300.0,thingangkuun,Condo,2,2.0,1,1053.0
21000.0,others,House,4,4.0,2,4542.0
4800.0,sanchaung,Apartment,2,1.0,4,1200.0
4750.0,others,Condo,3,2.0,1,1375.0
35955.625,yankin,House,4,2.0,2,3240.0
2000.0,okkalappa south,Apartment,2,1.0,3,972.0
2250.0,okkalappa south,Apartment,2,1.0,1,972.0
12500.0,dagon myothit (north),House,3,1.0,2,2400.0
35955.625,yankin,House,9,7.0,2,4542.0
35955.625,mayangone,House,10,8.0,3,4000.0
2890.0,okkalappa south,Apartment,2,1.0,4,972.0
18000.0,hlaing,Condo,3,2.0,1,2000.0
2980.0,okkalappa south,Apartment,2,1.0,1,1026.0
35955.625,bahan,House,4,4.0,2,4542.0
35955.625,mayangone,House,4,4.0,2,3600.0
6600.0,mayangone,Condo,3,2.0,1,1500.0
3550.0,okkalappa south,Condo,2,2.0,5,918.0
4150.0,thingangkuun,Condo,2,2.0,3,918.0
3600.0,okkalappa south,Apartment,2,1.0,1,972.0
1750.0,okkalappa south,Apartment,2,1.0,1,810.0
4100.0,sanchaung,Condo,2,2.0,7,1250.0
1600.0,okkalappa south,Apartment,1,1.0,1,660.0
8500.0,okkalappa south,House,1,1.0,2,1200.0
4350.0,yankin,Apartment,2,2.0,4,1200.0
35955.625,mayangone,House,5,7.0,2,4500.0
17540.0,bahan,Condo,3,3.0,7,1754.0
27500.0,mayangone,House,5,5.0,3,3025.0
35955.625,thingangkuun,House,4,5.0,2,3000.0
8500.0,kamaryut,Condo,3,3.0,3,1600.0
3550.0,okkalappa south,Condo,2,2.0,5,918.0
35955.625,kamaryut,House,6,3.0,2,4542.0
8900.0,mayangone,Condo,3,3.0,1,1160.0
9800.0,dagon myothit (north),House,2,3.0,3,1200.0
35955.625,thingangkuun,House,3,2.0,2,4542.0
8200.0,ahlon,Condo,3,4.0,4,1800.0
4150.0,okkalappa south,Condo,2,2.0,1,972.0
16000.0,ahlon,Condo,4,4.0,1,2360.0
35955.625,thingangkuun,House,4,3.0,2,4542.0
3900.0,thingangkuun,Condo,2,2.0,1,900.0
8500.0,yankin,Condo,3,3.0,1,1198.0
2200.0,others,Apartment,2,1.0,1,600.0
17500.0,yankin,House,5,4.0,2,2500.0
10000.0,dagon myothit (north),House,4,2.0,2,2400.0
2700.0,tamwe,Apartment,2,1.0,3,1224.0
2720.0,okkalappa south,Condo,1,2.0,7,935.0
12000.0,tamwe,Condo,3,3.0,1,2160.0
2750.0,okkalappa south,Apartment,2,2.0,5,972.0
35000.0,thaketa,House,4,3.0,2,4464.0
35000.0,mayangone,House,4,4.0,2,4542.0
5200.0,mayangone,Condo,2,2.0,1,1026.0
3200.0,dagon myothit (north),Apartment,1,1.0,1,918.0
1980.0,sanchaung,Apartment,1,1.0,7,1250.0
6300.0,sanchaung,Condo,2,2.0,2,960.0
33000.0,yankin,House,6,4.0,5,2850.0
7500.0,dagon myothit (north),House,6,3.0,2,2400.0
15850.0,dagon myothit (north),House,5,4.0,2,2400.0
3350.0,ahlon,Apartment,2,1.0,1,900.0
18000.0,others,House,4,2.0,2,4275.0
5990.0,sanchaung,Condo,1,2.0,7,2000.0
4000.0,tamwe,Apartment,3,2.0,1,1250.0
35955.625,hlaing,House,5,2.0,2,4200.0
2300.0,okkalappa south,Condo,1,1.0,7,900.0
3500.0,others,Apartment,2,1.0,1,900.0
4550.0,okkalappa south,Apartment,2,2.0,0,972.0
1550.0,okkalappa south,Apartment,2,1.0,5,972.0
3600.0,thingangkuun,Condo,1,1.0,7,1188.0
33000.0,dagon myothit (north),House,4,3.0,2,4542.0
3700.0,yankin,Apartment,2,1.0,1,1000.0
35955.625,mayangone,House,5,3.0,2,4542.0
1970.0,thaketa,Apartment,2,2.0,0,825.0
2090.0,okkalappa south,Apartment,2,1.0,4,972.0
9200.0,hlaing,Condo,3,3.0,1,1455.0
4500.0,tamwe,Condo,2,1.0,5,1512.0
2200.0,thingangkuun,Apartment,3,1.0,1,1026.0
6600.0,yankin,Condo,2,2.0,1,798.0
5650.0,thanlyin,House,3,2.0,2,1244.0
650.0,others,Apartment,1,1.0,7,625.0
2370.0,okkalappa south,Apartment,2,1.0,5,972.0
1450.0,okkalappa south,Apartment,2,1.0,7,972.0
3400.0,others,House,4,1.0,2,1200.0
7200.0,yankin,Condo,3,2.0,1,1750.0
1000.0,tamwe,Apartment,1,1.0,5,900.0
2780.0,okkalappa south,Apartment,2,1.0,1,972.0
3500.0,others,Condo,2,2.0,1,1064.0
10000.0,sanchaung,Condo,2,2.0,1,1200.0
970.0,thingangkuun,Apartment,1,1.0,7,625.0
16000.0,thingangkuun,House,2,2.0,1,3600.0
3100.0,okkalappa south,Condo,2,1.0,1,1026.0
1750.0,sanchaung,Apartment,1,1.0,3,687.5
35955.625,bahan,House,5,5.0,3,2600.0
1180.0,thingangkuun,Apartment,1,1.0,5,625.0
11000.0,bahan,Condo,3,2.0,3,2040.0
1150.0,thaketa,Apartment,2,1.0,5,972.0
4500.0,dagon myothit (north),Apartment,1,1.0,1,972.0
930.0,others,Apartment,1,1.0,7,625.0
1450.0,thingangkuun,Apartment,2,1.0,3,972.0
2390.0,okkalappa south,Apartment,2,1.0,4,918.0
9800.0,others,Condo,3,3.0,7,1470.0
3500.0,dagon myothit (north),Apartment,2,1.0,1,960.0
5200.0,lanmadaw,Condo,2,2.0,1,587.0
2600.0,okkalappa south,Condo,2,1.0,4,756.0
22000.0,kamaryut,Condo,3,3.0,1,1642.0
3400.0,okkalappa south,Condo,1,1.0,5,918.0
